f_Sig mu_fSig sigma_fSig mu_ratio sigma_ratio mu_BR sigma_BR mu_RTAU sigma_RTAU
0.00215 0.00214428 0.000912582 0.00328384 0.0013992 0.000302753 0.000130211 0.000726657 0.00030961
0.0022 0.0021935 0.000919452 0.00335913 0.00140995 0.000309611 0.000131244 0.000743236 0.000311946
0.00225 0.00224085 0.000921865 0.00343182 0.00141381 0.000316681 0.000131885 0.000759324 0.000312876
0.0023 0.00227676 0.000914321 0.00348718 0.00140287 0.00032141 0.000130884 0.000771611 0.000310482
0.00235 0.00232674 0.00092276 0.00356317 0.00141525 0.000328495 0.000131686 0.000788368 0.000313164
0.0024 0.00238273 0.000917008 0.00364872 0.00140646 0.000336351 0.000131135 0.000807281 0.000311192
0.00245 0.00242154 0.000914259 0.00370816 0.00140259 0.000342338 0.000131084 0.000820496 0.00031032
0.0025 0.00250372 0.000920215 0.00383422 0.00141148 0.000353282 0.000131809 0.000848246 0.000312306
0.00255 0.0025138 0.000923557 0.00384965 0.00141648 0.000354892 0.000132404 0.000851807 0.000313447
0.0026 0.00258132 0.000918118 0.00395257 0.00140822 0.000364667 0.000132148 0.000874558 0.000311665
0.00265 0.0026354 0.000931882 0.00403556 0.00142954 0.000372377 0.000133884 0.00089291 0.000316336
0.0027 0.00268685 0.00092259 0.0041144 0.00141541 0.000379299 0.000132125 0.000910362 0.000313218
0.00275 0.00274635 0.000923084 0.00420575 0.00141667 0.000387825 0.000133052 0.000930594 0.000313513
0.0028 0.00275834 0.000923532 0.00422384 0.00141683 0.000389825 0.000132917 0.00093455 0.0003134
0.00285 0.00282542 0.000911718 0.00432657 0.00139922 0.000398924 0.000130906 0.000957409 0.000309738
0.0029 0.00288828 0.000923427 0.004423 0.00141722 0.000408304 0.000133009 0.000978655 0.000313607
0.00295 0.00293989 0.000920596 0.00450214 0.00141328 0.000415647 0.000132918 0.000996136 0.000312693
